Time Period Benchmark Comparison,Header,Date,BM1,BM1Return,Consolidated,ConsolidatedReturn
Time Period Benchmark Comparison,Data,02/15/21,VT,0,Consolidated,0.052596376
Time Period Benchmark Comparison,Data,02/16/21,VT,0.131872591,Consolidated,0.215866621
Time Period Benchmark Comparison,Data,02/17/21,VT,-0.324181947,Consolidated,-0.30210756
Time Period Benchmark Comparison,Data,02/18/21,VT,-0.538672629,Consolidated,-0.147213138
Time Period Benchmark Comparison,Data,02/19/21,VT,0.255466994,Consolidated,-0.116973514
Time Period Benchmark Comparison,Data,02/22/21,VT,-1.070227296,Consolidated,-0.152155282
Time Period Benchmark Comparison,Data,02/23/21,VT,0.185452298,Consolidated,0.00950705
Time Period Benchmark Comparison,Data,02/24/21,VT,0.637597696,Consolidated,0.884279983
Time Period Benchmark Comparison,Data,02/25/21,VT,-2.278765583,Consolidated,-0.964268432
Time Period Benchmark Comparison,Data,02/26/21,VT,-0.826100596,Consolidated,-0.61242852
Time Period Benchmark Comparison,Data,03/01/21,VT,2.372416702,Consolidated,1.675689717
Time Period Benchmark Comparison,Data,03/02/21,VT,-0.64888248,Consolidated,-0.961204479
Time Period Benchmark Comparison,Data,03/03/21,VT,-1.057433133,Consolidated,-0.769097481
Time Period Benchmark Comparison,Data,03/04/21,VT,-1.456412406,Consolidated,-1.089221256
Time Period Benchmark Comparison,Data,03/05/21,VT,1.371610845,Consolidated,0.908789566
Time Period Benchmark Comparison,Data,03/08/21,VT,-0.713236837,Consolidated,-0.99545219
Time Period Benchmark Comparison,Data,03/09/21,VT,1.552926262,Consolidated,1.898819486
Time Period Benchmark Comparison,Data,03/10/21,VT,0.468116093,Consolidated,0.380334078
Time Period Benchmark Comparison,Data,03/11/21,VT,1.283909712,Consolidated,1.676188103
Time Period Benchmark Comparison,Data,03/12/21,VT,0.010222858,Consolidated,0.188615283
Time Period Benchmark Comparison,Data,03/15/21,VT,0.419094347,Consolidated,0.696281612
Time Period Benchmark Comparison,Data,03/16/21,VT,-0.081433225,Consolidated,-0.552797855
Time Period Benchmark Comparison,Data,03/17/21,VT,0.427872861,Consolidated,0.712747328
Time Period Benchmark Comparison,Data,03/18/21,VT,-1.460742544,Consolidated,-1.16655995
Time Period Benchmark Comparison,Data,03/19/21,VT,0.102944204,Consolidated,-0.266699361
Time Period Benchmark Comparison,Data,03/22/21,VT,0.445392842,Consolidated,0.525170885
Time Period Benchmark Comparison,Data,03/23/21,VT,-1.242044755,Consolidated,-1.137214087
Time Period Benchmark Comparison,Data,03/24/21,VT,-0.800332606,Consolidated,-0.83305822
Time Period Benchmark Comparison,Data,03/25/21,VT,0.57627829,Consolidated,0.785288283
Time Period Benchmark Comparison,Data,03/26/21,VT,1.562662777,Consolidated,1.33959074
Time Period Benchmark Comparison,Data,03/29/21,VT,-0.379526105,Consolidated,-0.684911508
Time Period Benchmark Comparison,Data,03/30/21,VT,-0.020593081,Consolidated,0.057336427
Time Period Benchmark Comparison,Data,03/31/21,VT,0.195674562,Consolidated,0.690517508
Time Period Benchmark Comparison,Data,04/01/21,VT,1.31565423,Consolidated,0.872175186
Time Period Benchmark Comparison,Data,04/02/21,VT,0,Consolidated,-0.000154321
Time Period Benchmark Comparison,Data,04/05/21,VT,1.146393426,Consolidated,0.726497354
Time Period Benchmark Comparison,Data,04/06/21,VT,-0.210631896,Consolidated,-0.16947763
